Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
125,MC,vac,283,8,300,140,225,137,85.1,114,0.3,0.2,139.9,0.1,215,0.759717315,649.9428,153.643362477108,18.2215554528162,0.11915,42.280673875506,2,0.434343434,0.527490645,0.533435351,39.97405998
126,MC,vac,246,8,180,100,200,71,139,96,0.2,0.2,61,0,189,0.768292683,537.2171,280.907205403419,7.9071042640978,0.02835,49.176202168961,1,0.161616162,0.523839607,0.683196747,42.83500469
127,MC,vac,282,8,300,140,211,136,36.7,132,0.3,0.2,174.3,0.1,174,0.617021277,604.8525,187.983265,22.47281631,0.12025,44.33193156,2,0.484848485,0.551285973,0.564517873,35.47879641
128,MC,vac,261,8,285,125,218,179,62.1,114,0.3,0.3,155.9,0,231,0.885057471,571.608,190.74641118192,20.1327706740018,0.1064,28.220212998595,2,0.454545455,0.572972389,0.52710985,39.50436688
129,MC,vac,302,8,210,105,185,298,40.8,96,0.3,0.2,144.2,0.1,271,0.897350993,463.0856,67.7280577724779,19.0379048472577,0.28295,25.857182716448,2,0.383838384,0.623981441,0.511167136,39.70364894
130,MC,vac,258,8,240,80,210,212,26.8,96,0.3,0.2,183.2,0.1,185,0.717054264,601.0313,124.279861073733,24.2464397047438,0.196,28.610329329243,2,0.202020202,0.523004091,0.560378381,38.85941264
131,MC,vac,311,8,220,110,207,185,91.4,96,0.3,0.2,115.6,0.1,243,0.781350482,548.2986,91.5259947057358,15.2064208342566,0.16745,30.805532027433,2,0.434343434,0.570242319,0.49954756,39.0553186
132,MC,vac,327,8,210,80,204,242,70.4,132,0.3,0.2,133.6,0.1,272,0.831804281,564.3477,79.3263833798688,17.6177832996419,0.22315,33.909885040157,2,0.434343434,0.552156841,0.547679187,40.00354126
133,MC,vac,287,8,140,110,213,54,140.1,96,0.3,0.2,72.9,0.1,238,0.829268293,539.5098,307.686795391693,9.21473575282576,0.03,72.534302608721,1,0.242424242,0.53000103,0.615416512,37.83310452
134,MC,vac,281,8,150,100,182,147,6.1,114,0.4,0.2,175.9,0.2,228,0.8113879,484.8665,188.255314127158,23.4653828776122,0.12495,31.946628759729,1,0.181818182,0.528052483,0.573742848,38.11130755
135,MC,vac,303,8,175,100,189,263,35.7,96,0.2,0.2,153.3,0,253,0.834983498,533.778,82.8602910908354,20.3417588710043,0.2472,34.26288741609,3,0.585858586,0.636135702,0.491864124,38.03047182
136,MC,vac,268,8,60,60,170,330,28.5,114,0.7,0.7,141.5,0,169.3,0.631716418,263.2362,73.5173143,22.76761944,0.3129,17.67723297,3,0.141414141,0.484662494,0.609984049,39.01552322
137,MC,air,204,8,180,60,180,500,30,114,0.3,,150,0.3,100,0.490196078,486.395,57.78712883,26.00664167,0.467,9.68631173,3,0.422680412,0.541775715,0.521526486,44.36424367
138,TCB,vac,329,8,25,25,206,225,152.3,150,5.3,1.3,53.7,4,214,0.650455927,67.59021,35.2071618252933,7.1888945839311,0.20695,23.250999875734,4,0.252525253,0.558434418,0.479840808,47.90475617
139,TCB,vac,382,8,180,90,151,190,68.8,132,7.9,1.6,82.2,6.3,328,0.858638744,221.585,67.8925464946089,11.514141344979,0.171,12.894142133465,1,0.141414141,0.49136558,0.562989027,46.43124639
140,TCB,vac,433,8,85,85,199,68,169.7,150,7.8,1.8,29.3,6,383,0.884526559,150.1284,73.3954250313016,3.7204833550912,0.0512,19.407817915917,1,0.060606061,0.493100512,0.530459915,42.60312912
141,TCB,vac,299,8,140,80,171,196,101.5,114,6.2,1.2,69.5,5,217,0.725752508,173.0556,46.4531142024873,8.27967901971185,0.17975,22.089011130117,1,0.070707071,0.496584888,0.521345288,37.9125207
142,TCB,vac,286,8,40,40,214,339,131,60,6.1,2.6,83,3.5,198,0.692307692,86.31414,28.8414476731047,8.70971065098023,0.3222,15.200169947608,5,0.282828283,0.511610708,0.515012943,49.19716676
143,TCB,vac,313,8,100,50,158,361,78.6,132,6.8,1,79.4,5.8,263,0.840255591,78.2896,31.0200902508965,10.5199306050555,0.34205,20.213097719863,1,0.454545455,0.653520136,0.449448857,45.19109128
144,TCB,vac,378,8,210,105,229,81,164,150,7,1.3,65,5.7,297,0.785714286,377.4904,130.63820051227,8.05336066765809,0.06235,17.521357967258,1,0.323232323,0.541986057,0.520657063,44.48627898
145,TCB,vac,361,8,150,50,197,405,71.6,78,6.9,2.3,125.4,4.6,225,0.623268698,94.33868,40.4491772361988,15.0000088830854,0.38635,49.582013677752,9,0.545454545,0.58888819,0.498245082,44.51991436
146,TCB,vac,301,8,270,90,213,234,132.9,78,6.2,1.3,80.1,4.9,235,0.780730897,273.5535,56.820288003716,9.09076259229806,0.2172,17.503245429966,3,0.464646465,0.572499152,0.549496966,49.55360596
147,TCB,vac,415,8,225,100,194,434,68.8,132,7.8,0.9,125.2,6.9,291,0.701204819,192.9259,41.3200714867953,16.9674992163279,0.41395,20.169459493005,5,0.424242424,0.463018779,0.601621801,50.66798596
148,TCB,vac,267,8,55,55,209,275,142.2,150,6.2,1.1,66.8,5.1,197,0.737827715,97.39565,35.6501902146895,8.97623373713989,0.2538,19.80938787851,5,0.505050505,0.622859522,0.408321347,48.70222453
149,TCB,vac,398,8,60,60,187,265,114.2,168,8.4,1.4,72.8,7,254,0.638190955,69.50081,44.303864862649,10.9691710311718,0.24855,58.038616902229,8,0.181818182,0.486866403,0.56184424,43.93259724
150,TCB,vac,265,8,180,90,153,510,26.9,78,6.5,0.8,126.1,5.7,212,0.8,171.5271,35.3350081052892,14.3190678016628,0.45985,11.750568613494,2,0.353535354,0.586744117,0.530212092,48.10902621
151,TCB,vac,419,8,210,70,198,372,59.9,96,10.2,1.3,138.1,8.9,309,0.737470167,139.0469,46.8689950064291,16.6122897977003,0.3578,31.245849070472,9,0.545454545,0.645009717,0.466003592,47.3154005
152,TCB,vac,340,8,270,9,193,377,89.2,114,6.8,1,103.8,5.8,255,0.75,271.2608,36.2376383588739,12.4217442693524,0.34595,13.229108390525,4,0.282828283,0.576710535,0.475690287,46.62905214
153,TCB,vac,357,8,150,50,196,357,129.4,78,6.7,1.4,66.6,5.3,293,0.820728291,94.33868,21.5136914981123,7.80041843563757,0.3865,9.495213059061,2,0.474747475,0.567537024,0.497487032,47.72891346
154,TCB,vac,421,8,55,55,197,373,137.2,96,6.5,1.9,59.8,4.6,361,0.857482185,49.24839,20.3706821532381,7.07226341808339,0.3544,14.480322417495,3,0.181818182,0.522424108,0.486613818,41.74337124
155,TCB,vac,270,8,55,55,208,283,87.8,150,6.8,0.9,120.2,5.9,146,0.540740741,94.7208,59.6133173633817,15.7730874590726,0.2673,43.069178563873,6,0.525252525,0.563054513,0.483425944,50.07537382
156,TCB,vac,419,8,225,100,198,319,122,96,6.3,1.2,76,5.1,296,0.706443914,213.9426,45.053182376365,7.97173819998424,0.2988,15.899793270968,5,0.353535354,0.584383916,0.465419695,49.99933331
157,TCB,vac,278,8,150,50,208,287,116.4,150,4.6,0.8,91.6,3.8,176,0.633093525,155.4781,45.6034979138705,12.2256884336151,0.2683,35.496533871349,7,0.414141414,0.602010167,0.453496856,45.2222556
158,TCB,vac,419,8,60,60,202,372,133,96,6.4,1.7,69,4.7,317,0.756563246,57.65506,22.5826958610777,7.83123168814414,0.352950000000001,15.24973105211,4,0.171717172,0.561216847,0.454705083,49.14699638
159,TCB,vac,238,8,225,100,209,272,116.7,150,4.8,0.9,92.3,3.9,196,0.823529412,359.5307,48.8611826007733,12.412623609361,0.25595,15.208882308508,4,0.808080808,0.690510577,0.428893756,48.75750771
160,TCB,vac,239,8,225,100,209,269,126.2,150,5.2,0.8,82.8,4.4,137,0.573221757,412.2635,61.8993436090525,11.6954769812022,0.192200000000001,28.905478566184,5,0.767676768,0.603348014,0.497366329,50.19500084
161,TCB,vac,200,8,270,90,211,270,28.4,150,3.8,0.8,182.6,3,121,0.605,432.5159,98.857600896662,24.931226849159,0.25385,23.137089583022,4,0.808080808,0.665525884,0.446714071,48.6323211
162,TCB,vac,232,8,270,90,212,268,99.2,150,4,0.9,112.8,3.1,176,0.75862069,479.8989,59.3921794249783,14.6277708289926,0.24875,20.012293091036,2,0.828282828,0.658807559,0.474358406,48.68005813
163,TCB,vac,227,8,150,50,212,267,135.3,150,6.6,1.5,76.7,5.1,161,0.709251101,130.2581,65.9996077616524,16.3834531763158,0.25195,126.365094287735,9,0.474747475,0.684313036,0.419453892,45.66516964
164,TCB,vac,231,8,225,199,209,273,109.5,150,4.7,0.8,99.5,3.9,179,0.774891775,539.8919,167.494520420836,24.5374844050858,0.1479,17.854451831757,1,0.646464646,0.624285479,0.602525476,46.58406158
165,TCB,vac,284,8,210,70,200,160,138.9,96,6.1,2.34,61.1,3.76,161.7,0.569366197,377.8726,77.1815656221813,10.7625301255672,0.140750000000001,27.699000919779,2,0.652173913,0.639832801,0.455545155,44.7646929
166,TCB,vac,320,8,240,120,220,700,26.5,132,7.8,30,193.5,-22.2,109.9,0.3434375,584.9822,159.79116568831,33.0443718902161,0.21485,15.892724028252,2,0.692307692,0.636178956,0.482232802,41.47087493
167,TCB,vac,276,8,240,80,175,340,78.6,150,10.7,2.3,96.4,8.4,208.6,0.755797101,237.6341,53.5499658793028,16.8810419567381,0.318449999999999,20.484517242348,1,0.631578947,0.537182158,0.584563785,48.20269956
168,TCB,vac,376,8,225,100,185,460,133.6,114,12.3,10,51.4,2.3,59.5,0.158244681,213.9426,146.711900966239,8.14907991728848,0.05605,105.313162722315,1,0.106666667,0.558581583,0.38411378,41.06684781
169,TCB,vac,265,8,60,60,180,110,132.3,78,5.41,5.3,47.7,0.11,183.7,0.693207547,185.2835,91.7380460744173,8.31096418129511,0.0912,31.836768941967,2,0.484848485,0.548523135,0.515221852,45.70793899
170,TCB,vac,360,8,150,60,175,220,112,78,11.2,0.6,63,10.6,287.5,0.798611111,104.2738,53.6276886892017,10.9530003371692,0.20595,28.589733005236,2,0.534883721,0.668323027,0.394274473,41.92243993
171,TCB,vac,321,8,210,70,160,430,56,96,9,1.5,104,7.5,260,0.809968847,216.9996,44.0534164503232,18.0305127375997,0.41365,20.565335852351,3,0.636363636,0.631813861,0.721581271,32.19309086
172,TCB,vac,345,8,200,100,150,530,32,132,14.9,2.5,118,12.4,276.2,0.80057971,142.4859,42.2367832964809,20.5329780030115,0.5036,13.269383953994,1,0.5,0.542554335,0.633723825,43.68470542
173,TCB,air,275,8,200,100,170,390,33,60,13.5,11.7,137,1.8,157,0.570909091,237.6341,66.0897369147374,24.0989693528643,0.3682,22.808351894444,3,0.471910112,0.562038261,0.547242353,47.41518358
174,TCB,air,294,8,210,90,180,70,129,60,7.9,1,51,6.9,235,0.799319728,263.2362,156.7744221,8.849149835,0.0566,90.03049082,1,0.270588235,0.481164502,0.6129999,52.49854016
